astro-ph Sync 13 100 10
FISV , 0.00, 0.00, 0.00, 0.00
SSSV , 3.20, 3.20, 0.10, 2.20, 0.30, 1.50, 2.20, 0.10, 0.60, 0.00, 0.10, 0.50, 0.60, 1.20, 0.20, 0.90, 1.40, 2.00, 3.10, 3.90, 2.00, 1.40, 1.20, 0.20, 0.20, 1.00, 0.30, 0.10, 0.20, 0.80, 0.20, 0.50, 2.90, 0.80, 1.30, 1.40, 0.30, 4.30, 0.80, 1.20, 0.90, 0.90, 4.10, 0.50, 2.20, 0.60, 0.90, 1.50, 0.30, 0.30, 0.00, 2.00, 2.10, 1.40, 0.10, 0.90, 0.90, 1.00, 0.60, 0.60, 0.20, 1.50, 0.60, 1.20, 0.50, 1.20, 0.30, 0.70, 1.00, 1.20, 2.00, 0.20, 0.30, 0.20, 0.00, 1.90, 0.10, 0.30, 2.00, 0.60, 0.60, 0.40, 1.00, 0.30, 1.40, 0.40, 0.10, 1.60, 1.30, 2.20, 0.50, 0.20, 0.40, 0.10, 1.90, 1.00, 1.00, 1.00, 0.70, 1.00
SSHSV , 0.00, 0.00, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.10, 0.00, 0.10, 0.20, 0.00, 0.10, 0.20, 0.00, 0.20, 0.00, 0.00, 0.00, 0.30, 0.00, 0.60, 0.00, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.00, 0.00, 0.00, 0.00, 0.10, 0.00, 0.00, 0.00, 0.10, 0.00, 0.00, 0.00, 0.20, 0.10, 0.00, 0.00, 0.00, 0.00, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.00, 0.00, 0.20, 0.00, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.20, 0.00
TMSV , 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
