coAuthorsDBLP Sync 11 100 16
FISV , 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00
SSSV , 0.50, 0.50, 0.31, 0.38, 0.31, 0.56, 0.38, 0.94, 0.56, 0.31, 0.81, 0.38, 0.56, 0.69, 0.31, 0.38, 0.38, 0.31, 0.44, 0.50, 0.44, 0.38, 0.38, 0.31, 0.31, 0.38, 0.38, 0.31, 0.31, 0.31, 0.31, 0.44, 0.56, 0.50, 0.25, 0.38, 0.44, 0.38, 0.75, 0.44, 0.62, 0.88, 0.38, 0.44, 0.44, 0.75, 0.62, 0.31, 0.50, 0.44, 0.38, 0.31, 1.12, 0.38, 0.44, 0.44, 0.44, 0.62, 0.56, 0.31, 0.56, 0.31, 0.31, 0.81, 0.38, 0.44, 0.38, 0.44, 0.38, 0.38, 0.31, 0.25, 0.81, 0.31, 0.31, 0.50, 1.06, 0.31, 0.38, 0.19, 0.44, 0.31, 0.62, 0.31, 0.38, 0.44, 0.38, 0.44, 0.31, 0.38, 0.31, 0.38, 0.50, 0.62, 0.38, 0.38, 0.75, 0.38, 0.56, 0.50
SSHSV , 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TMSV , 0.12, 0.00, 0.06, 0.00, 0.06, 0.06, 0.06, 0.06, 0.06, 0.00, 0.12, 0.00, 0.00, 0.12, 0.06, 0.06, 0.06, 0.00, 0.06, 0.12, 0.00, 0.06, 0.00, 0.00, 0.06, 0.12, 0.06, 0.06, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
