coAuthorsDBLP Sync 9 100 16
FISV , 0.00, 0.00, -0.06, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, -0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SSSV , 0.50, 0.50, 1.25, 0.75, 1.00, 0.88, 0.69, 0.56, 0.94, 0.69, 1.38, 0.50, 0.88, 0.81, 0.56, 0.88, 0.88, 0.81, 0.81, 0.69, 0.75, 1.00, 0.75, 0.94, 0.81, 0.75, 0.38, 0.88, 0.62, 0.75, 0.88, 0.69, 0.50, 0.62, 0.88, 0.44, 1.25, 1.00, 0.88, 0.38, 1.06, 0.81, 1.25, 0.69, 1.00, 0.56, 1.38, 0.62, 0.81, 0.62, 0.69, 0.94, 1.00, 0.62, 1.12, 0.94, 0.69, 0.88, 0.88, 0.62, 0.81, 0.81, 0.50, 0.62, 0.94, 0.69, 0.94, 0.75, 0.69, 0.44, 0.75, 0.69, 1.00, 0.81, 1.00, 0.69, 1.31, 1.25, 0.81, 1.00, 0.94, 0.69, 0.69, 0.62, 0.44, 0.50, 0.75, 0.56, 0.69, 0.75, 0.94, 1.12, 0.88, 0.94, 0.81, 0.69, 0.69, 0.88, 0.62, 0.81
SSHSV , 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.06, 0.00, 0.06, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.38, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.44, 0.06, 0.00, 0.00
TMSV 
