G_n_pin_pout Sync 10 100 8
FISV , 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SSSV , 0.38, 0.38, 0.38, 0.25, 0.38, 0.25, 0.38, 0.25, 0.25, 0.38, 0.25, 0.38, 0.25, 0.38, 0.25, 0.25, 0.38, 0.25, 0.25, 0.38, 0.38, 0.38, 0.38, 0.25, 0.38, 0.38, 0.25, 0.38, 0.38, 0.25, 0.38, 0.50, 0.38, 0.38, 0.25, 0.50, 0.25, 0.38, 0.38, 0.38, 0.38, 0.25, 0.38, 0.38, 0.25, 0.25, 0.25, 0.25, 0.25, 0.38, 0.25, 0.38, 0.25, 0.38, 0.38, 0.25, 0.25, 0.25, 0.38, 0.38, 0.25, 0.38, 0.38, 0.38, 0.38, 0.25, 0.38, 0.25, 0.25, 0.38, 0.25, 0.25, 0.25, 0.25, 0.25, 0.38, 0.25, 0.25, 0.25, 0.38, 0.25, 0.38, 0.38, 0.38, 0.38, 0.50, 0.25, 0.25, 0.50, 0.38, 0.38, 0.50, 0.38, 0.25, 0.25, 0.25, 0.25, 0.38, 0.38, 0.38
SSHSV , 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TMSV , 0.12, 0.12, 0.12, 0.25, 0.12, 0.00, 0.12, 0.12, 0.12, 0.12, 0.25, 0.00, 0.00, 0.25, 0.25, 0.00, 0.00, 0.25, 0.25, 0.00, 0.25, 0.00, 0.00, 0.00, 0.12, 0.00, 0.12, 0.00, 0.00, 0.12, 0.25, 0.12, 0.12, 0.25, 0.25, 0.12, 0.12, 0.00, 0.25, 0.00
