-18,0.1036184211,0.1814946619,0.1854873765,0.01,0.2037533512
-16,0.1036184211,0.1814946619,0.1855104281,0.01,0.2010723861
-14,0.1036184211,0.1850533808,0.1855104281,0.0125,0.2010723861
-12,0.1036184211,0.2028469751,0.1855104281,0.0175,0.2010723861
-10,0.1085526316,0.2277580071,0.1855104281,0.04,0.1983914209
-8,0.1134868421,0.2775800712,0.1855104281,0.11,0.2010723861
-6,0.1398026316,0.334519573,0.2074643249,0.2425,0.2332439678
