0, delaunay_n18, 6, 7.555007e-03, 7.538296e-03, 1.681123e-02, 1.199993e-03, 4456309, 4888375, 2432997, 422490, 6121
1, delaunay_n18, 6, 7.083084e-03, 7.123798e-03, 1.272649e-02, 1.107371e-03, 4456309, 4725776, 2440091, 259981, 6589
2, delaunay_n18, 6, 6.339921e-03, 6.397789e-03, 1.200732e-02, 1.076138e-03, 4456309, 4654916, 2447755, 189208, 7178
3, delaunay_n18, 6, 5.952874e-03, 6.001877e-03, 1.164473e-02, 1.067855e-03, 4456309, 4614297, 2451191, 148636, 7414
4, delaunay_n18, 6, 5.678641e-03, 5.727446e-03, 1.145038e-02, 1.058424e-03, 4456309, 4588590, 2451857, 122792, 7455
5, delaunay_n18, 6, 5.490580e-03, 5.541823e-03, 1.128272e-02, 1.052133e-03, 4456309, 4570852, 2451643, 104799, 7395
6, delaunay_n18, 6, 5.359765e-03, 5.414143e-03, 1.115326e-02, 1.042946e-03, 4456309, 4556921, 2450641, 91067, 7314
7, delaunay_n18, 6, 5.243391e-03, 5.303490e-03, 1.109202e-02, 1.038667e-03, 4456309, 4547132, 2450545, 81307, 7305
8, delaunay_n18, 6, 5.162067e-03, 5.225287e-03, 1.101381e-02, 1.030937e-03, 4456309, 4538645, 2448177, 72835, 7136
9, delaunay_n18, 6, 5.108084e-03, 5.158661e-03, 1.098391e-02, 1.031866e-03, 4456309, 4532560, 2448993, 66562, 7197
10, delaunay_n18, 6, 5.037277e-03, 5.103307e-03, 1.094621e-02, 1.016864e-03, 4456309, 4526034, 2444759, 60408, 6819
11, delaunay_n18, 6, 5.000412e-03, 5.070073e-03, 1.087594e-02, 1.020879e-03, 4456309, 4522567, 2445783, 56543, 6878
12, delaunay_n18, 6, 4.962015e-03, 5.024904e-03, 1.084500e-02, 1.013283e-03, 4456309, 4518461, 2442717, 52577, 6672
13, delaunay_n18, 6, 4.930192e-03, 4.987018e-03, 1.082401e-02, 1.029205e-03, 4456309, 4515353, 2443137, 49344, 6685
14, delaunay_n18, 6, 4.906648e-03, 4.955132e-03, 1.081446e-02, 1.003648e-03, 4456309, 4512212, 2440431, 46359, 6462
15, delaunay_n18, 6, 4.885689e-03, 4.932076e-03, 1.077510e-02, 1.007665e-03, 4456309, 4509562, 2441755, 44006, 6592
16, delaunay_n18, 6, 4.858493e-03, 4.910208e-03, 1.076337e-02, 9.941740e-04, 4456309, 4507244, 2438009, 41549, 6275
17, delaunay_n18, 6, 4.831209e-03, 4.886106e-03, 1.074424e-02, 9.995650e-04, 4456309, 4505277, 2438433, 39434, 6323
18, delaunay_n18, 6, 4.827222e-03, 4.868156e-03, 1.071690e-02, 9.945780e-04, 4456309, 4503282, 2437325, 37518, 6234
19, delaunay_n18, 6, 4.796696e-03, 4.853400e-03, 1.072328e-02, 9.912800e-04, 4456309, 4501882, 2435757, 36123, 6121
20, delaunay_n18, 6, 4.784577e-03, 4.841075e-03, 1.070354e-02, 9.872290e-04, 4456309, 4500492, 2433131, 34687, 5917
21, delaunay_n18, 6, 4.770988e-03, 4.827526e-03, 1.069205e-02, 9.859660e-04, 4456309, 4499143, 2434671, 33351, 5986
22, delaunay_n18, 6, 4.764721e-03, 4.813416e-03, 1.067942e-02, 9.784420e-04, 4456309, 4497789, 2431575, 31812, 5768
23, delaunay_n18, 6, 4.746122e-03, 4.803698e-03, 1.067127e-02, 9.807570e-04, 4456309, 4496333, 2431803, 30494, 5760
24, delaunay_n18, 6, 4.731706e-03, 4.792474e-03, 1.068178e-02, 9.807050e-04, 4456309, 4495259, 2431523, 29483, 5745
25, delaunay_n18, 6, 4.725856e-03, 4.776045e-03, 1.068001e-02, 9.729220e-04, 4456309, 4494021, 2429023, 28093, 5566
26, delaunay_n18, 6, 4.714167e-03, 4.767227e-03, 1.066278e-02, 9.762720e-04, 4456309, 4493029, 2429557, 27208, 5594
27, delaunay_n18, 6, 4.704381e-03, 4.760714e-03, 1.065137e-02, 9.646050e-04, 4456309, 4492232, 2425929, 26177, 5300
28, delaunay_n18, 6, 4.697025e-03, 4.751804e-03, 1.061362e-02, 9.623370e-04, 4456309, 4491212, 2424927, 25360, 5254
29, delaunay_n18, 6, 4.689961e-03, 4.748585e-03, 1.062570e-02, 9.624280e-04, 4456309, 4490566, 2425055, 24643, 5246
30, delaunay_n18, 6, 4.678827e-03, 4.728364e-03, 1.065851e-02, 9.596850e-04, 4456309, 4489549, 2423515, 23723, 5131
31, delaunay_n18, 6, 4.681040e-03, 4.722339e-03, 1.062193e-02, 9.556740e-04, 4456309, 4488951, 2422761, 22992, 5059
32, delaunay_n18, 6, 4.662891e-03, 4.721607e-03, 1.060021e-02, 9.567830e-04, 4456309, 4488296, 2422197, 22358, 5015
33, delaunay_n18, 6, 4.663162e-03, 4.725589e-03, 1.059336e-02, 9.540870e-04, 4456309, 4487652, 2421511, 21847, 4949
34, delaunay_n18, 6, 4.658614e-03, 4.711937e-03, 1.061523e-02, 9.523270e-04, 4456309, 4486819, 2421171, 21066, 4934
35, delaunay_n18, 6, 4.648900e-03, 4.704947e-03, 1.058318e-02, 9.492500e-04, 4456309, 4486328, 2419737, 20580, 4837
36, delaunay_n18, 6, 4.643753e-03, 4.698797e-03, 1.057412e-02, 9.482640e-04, 4456309, 4485898, 2419643, 20132, 4795
